Country,Impact_Day_0,Impact_Day_30,Impact_Day_90,Impact_Day_180,Impact_Day_365
Papua New Guinea,56.612241771528645,56.280853988243614,55.623886542744415,54.65278634622347,52.70955118907565
Paraguay,44.57388646197004,44.31296689820071,43.79570081919483,43.03110099858341,41.50108663149334
Peru,49.70913066861825,49.41815122484741,48.84129223514085,47.98860481188008,46.2823213769942
Philippines,52.39784216410975,52.091123966413925,51.48306331664934,50.58425498066802,48.78568057580867
Poland,43.736324365479064,43.480307590185056,42.972761158622205,42.22252849060975,40.72126373775971
Portugal,39.13824712249829,38.90914584422831,38.45495866794314,37.78359928907364,36.44016515861623
Puerto Rico,51.832746460136214,51.5293361302588,50.927833240255794,50.03871829446729,48.25954099886827
Qatar,52.93353708386426,52.62368312000869,52.00940589743256,51.1014084987049,49.28444617686863
Romania,43.83944183124767,43.58282144324854,43.074078365590196,42.32207686829031,40.817272572074266
Rwanda,61.48034408976988,61.12046017940058,60.40699992166917,59.352394550825565,57.242060065380926
Samoa,45.676750354294654,45.40937502037551,44.879310549159726,44.09579271171911,42.527922152716286
San Marino,38.52776832070163,38.30224056664725,37.855137806848646,37.194250298829786,35.87177106846505
Sao Tome and Principe,49.21977787079705,48.93166292300518,48.360482720208864,47.51618942838084,45.826703200798846
Saudi Arabia,50.93563834953256,50.63747936916608,50.0463871395665,49.17266077114654,47.42427702771461
Senegal,63.87442602362985,63.50052801524503,62.75928518181645,61.66361283740482,59.47110064555978
Serbia,46.33621064268785,46.06497506447708,45.527257761868,44.73242784782316,43.141921081932075
Seychelles,38.97566805893311,38.74751846026099,38.29521796340663,37.62664739055572,36.28879384377155
Sierra Leone,67.46724469424042,67.07231561240326,66.28937923654796,65.13207734333353,62.816240383990966
Singapore,37.88591905170397,37.66414845334243,37.22449415453837,36.57461663184699,35.274169103921096
Slovenia,40.49763712752534,40.26057846713642,39.790615992945824,39.095938267024145,37.70584259539857
Solomon Islands,52.0122897736308,51.70782846151348,51.10424202723927,50.21204727853955,48.42670709540781
Somalia,72.74218257818698,72.31637589960349,71.47222551140138,70.2244397748442,67.72753871298431
South Africa,48.928886639229546,48.64247446450211,48.07466996390979,47.23536648565038,45.55586520214408
South Sudan,54.278728112953,53.96099988269717,53.331112136912026,52.40003995379448,50.536903475644905
Spain,41.16722577376742,40.926247581308274,40.448514739283944,39.74235119959467,38.32927166162698
Sri Lanka,48.826331542853495,48.54051968892222,47.973905308303614,47.136361012707326,45.46037996903938
Sudan,61.18884448651976,60.8306669104048,60.120589414841405,59.070984293292724,56.970655634496254
Suriname,48.69908274852155,48.41401576344831,47.84887806548242,47.01351653681632,45.341903352874695
Sweden,39.12043580435097,38.89143878715692,38.43745830567517,37.76640445391451,36.42358170323179
Switzerland,39.04362601194587,38.8150786117612,38.36198948401368,37.692253191886145,36.35206696440661
Tajikistan,54.64644686681714,54.326566142703065,53.692411135229825,52.75503127478018,50.879272720766956
Tanzania,59.61723892785335,59.26826096768694,58.57642146547799,57.5537749383802,55.50739219444601
Thailand,46.447314505088926,46.17542856466808,45.636421936316324,44.83968619803214,43.24536575289507
Timor-Leste,52.86606237969645,52.55660338858781,51.9431091889524,51.03626922007432,49.22162299124644
Togo,65.98477057885594,65.59851936942768,64.83278664426922,63.70091442597558,61.43596391328183
Tonga,42.68891339508961,42.43902778840515,41.94363623515257,41.21137037020875,39.74605836817642
Trinidad and Tobago,44.646258154857904,44.38491495312392,43.866809023147376,43.1009677720081,41.56846922104539
Tunisia,50.00052946698351,49.70784427903402,49.127603696968755,48.26991775357341,46.553631952202565
Turks and Caicos Islands,51.33829934357781,51.03778332999631,50.44201834488693,49.561384916117255,47.79917969210876
Tuvalu,42.40693286789888,42.158697874207505,41.666578617208025,40.93914971573361,39.48351679470782
Uganda,62.689666907991835,62.322704055057,61.595209982415426,60.5198604475945,58.36801553007417
Ukraine,46.17861077562088,45.908297730575356,45.37240932537147,44.58028280651275,42.99518571161972
United Arab Emirates,44.366424964230454,44.10671980575054,43.591861252854635,42.83082013076709,41.307926952726355
United Kingdom,40.81716451645561,40.5782354571953,40.10456496710737,39.40440621622582,38.00334265432757
United States,42.102208921783756,41.855757672912524,41.36717464246401,40.6449728345421,39.19979967039549
Uruguay,40.20949255891929,39.97412059361376,39.50750194745837,38.817766920119965,37.43756191239561
Uzbekistan,47.96007606335491,47.679334958684336,47.1227732032879,46.300088253304054,44.65384173436359
Vanuatu,48.14463009426082,47.86280867640559,47.304105228921955,46.47825452449926,44.825673123384426
Zambia,56.55826420074423,56.22719238282234,55.57085133023186,54.600677039980596,52.659294681979446
Zimbabwe,53.16896208249619,52.85773002503428,52.240720768623795,51.32868499841882,49.50364163050669
